SENTENCE	SLANG_TERM
And we 'll see who 's full of what .	full of
- it 's not gon na make a ticket appear !	gonna
Man , we 're gon na have our own show .	gonna
Yo , I want to say , suck on this !	suck
We got movement definitely on Tuesday of that week .	movement
He looks like Duran Duran , both of them .	duran duran
- Oh , man , that was nothing .	man
Lost more men than Nam .	nam
I know you already gave an explanation , but I 'd like to hear it again .	there are no slangs in this sentence
FOR CHRIST 'S SAKE , THERE 'S A MURDERER OUT THERE .	christ's sake
How far are we gon na go ?	gonna
No , I 'm not gon na focus !	gonna
Give us a hand , will you ?	give us a hand
Listen , before I , uh , commence the launch code :	launch
Fucking cheap and easy , which makes us cheap and easy .	cheap and easy
It 's flip , it 's glib , it 's journalism .	flip
Beats a leg , do n't it ?	beats a leg
I do n't mean to be nosy or anything , but what 's a man like you doing at this hour passed out in a diner ?	nosy
- I met you back at the subway .	flower shop
There 's a street match comir up against The Triple Decka 1 K .	triple decka
You know I need 200 grand .	grand
I got to use our meager travel budget	travel budget
I wan na hear you beg like Trife did .	wanna
I mean , they 're both at McCallie Prep .	i mean
- He took a boost , and he blew it .	boost
Hey , are you sure she 's OK ?	ok
I have nothing to say for myself other than I must be temporarily nuts right now .	nuts
This guy I know , he 's gon na put me in some Internet start-up , sells shoes on line or some bullshit .	gonna
Listen , thanks for coming in , mate .	mate
He 's the , you know , the only real proper centre midfielder in the team .	real proper
You remember this shit , girl .	shit
Because I think you 're the red in her painting .	red
The shares of the major financial stocks plummeting .	plummeting
Everybody behave Like a gentleman ... because Lucy 's gon na come out here ... and first impressions are very important .	gonna
The darkness is gon na come for all of us !	gonna
# You 'd be my ho , you know ?	ho
♪ Moping and dragging my feets	moping
I 'll meet you outside Topshop in half an hour , OK ?	ok
You 're calling me a bitch ?	bitch
I thought it was cool .	cool
I want more than 200 quid	quid
Guys , sorry , there 's a bit of a glitch .	guys
Look , I 'll do anything for that money .	look
- You got yourself some scratch , what ?	scratch
Now that 's what I calla dead parrot .	calla
I know Phillip really wants to take him .	pass
Oh , for God sakes , William , put Mommy to bed already .	god sakes
You wan na smell my dick ?	dick
Oh , I love her , she 's an English rose .	english rose
All I did was call her dad a '' bender , '' and she hit me .	bender
I specialize in energy with a focus on ...	trader
My yoga teacher calls me a '' unique '' .	unique
However , it is also because they are kids .	kids
And so , after my ninth stint in rehab , um , Craig ...	rehab
Oh , you are so gon na miss all of this .	gonna
You do n't need to check the folks I deal with .	check
Yeah , managed to get everything finished , but I 'm absolutely shattered .	shattered
My mom always assure that the next move is gon na be the last one .	gonna
I hid it in the pram with the baby , innit ?	innit
But while you 're here you better watch your back .	watch your back
- So you can clean your stuff , man .	man
Basically , right , you 're taking a loved one behind , and just when you 're about to blow your load back of the neck , involuntary muscle spasm .	blow your load
... never try to teach a pig to sing because it wastes time and it annoys the pig !	pig
I want her to see Dr. Miller before she goes .	see
Dude , you 're such an asshole !	dude
I 'd rather be the bi-sexual ninja .	ninja
- Quit playing and give me some love .	quit playing
Where are we gon na go ?	gonna
Jim just taught me how to make the pitcher my bitch .	my bitch
With my brother Dane , and my mom Susan .	mom
Yeah , I like it long .	yeah
I finally reeled JTRO 's ass up in this piece .	reeled
Well , cut to the chase .	chase
No kissing and telling , buddy .	buddy
Am I gon na get four grand back off Ed ?	gonna
All right , get your arrow ready .	arrow
Um can I kiss your little cooty cat ?	cooty cat
Mum , give it a rest , will ya ?	hicock
Yeah , I miss you too .	yeah
People have no idea about the shit storm that 's about to go down .	shit storm
You made me see something out of my own head .	out
Do n't say that , you 'll make Mummy sad .	mummy
And you 're like still so beautiful .	like
I smell a Fineman jam session coming on .	fineman jam
I love the passing of time	passing of time
Okay , what is going on between you two ?	okay
Whether it sounds Neanderthal or not ,	neanderthal
It 's all a question of how bad you really want it :	shine
I never had a sister that looked like you .	you know what
I ca n't have the cops come to my house .	cops
Why do n't you come screw mine up ?	screw
Another thing I was wondering ...	waisted
Actually , that you can print !	print
He also says the Viagra commercials wo n't hurt his campaign to nail Heather Locklear .	dick
I get so depressed I need to wear high , sexy heels .	jogging
You got ta really swing the ax hard to get those , uh , hits in deep .	gotta
I do n't know why my mother ca n't get that through her skull !	get that through her skull
You just asked someone you do n't know their proper name to go and live abroad with ' em .	'em
Linda teeth maybe a large vocabulary but I do not light it .	teeth
Life in the old dog yet .	old dog
Harvey 's not a smack dealer , but he did time for it .	smack
Their blood 's all over your shirt .	blood
Here , Cyrus Rooney was a genius .	genius
- I used to moonlight as a pastry chef .	moonlight
See what I 'm sayin ' , cuz ?	sayin
Stop being so bloody noble , okay ?	bloody
About a hundred grand a year different , I should 've thought .	grand
Keep pressure on it , keep pressure on it .	keep pressure on it
For my peace of mind .	peace of mind
You really thought you was gon na come in here and take our shit ?	shit
Where did that word , college kid ?	college kid
And I will be in Scotland afore ye !	ye
Darling , I thought it was three days .	darling
Yeah , I 'm up for that .	yeah
Now , where the hell is my brother ?	where the hell
I do n't want to talk to ' em I 'm telling ' em	'em
You 're pricing me out of the goddamn game .	pricing me out
oi , hang on , twat ... - do n't be stupid you nutter	oi
Turn to your neighbour and say , '' Man , I love you . ''	man
Okay , okay , okay , okay , look , look , no more transplant jokes .	okay
You in a rush , blood ?	blood
We 're the good guys here .	stick
I 'm gon na go and get changed .	gonna
He was a teenage kid .	kid
I look like a prick .	prick
Did n't really ... realise that my , kind of , flippancy ..... was gon na have such , um , ...	gonna
Then there 's the big day .	the big day
Babe , how much is a gallon of milk ?	babe
- Lf I can lose it to Lili , I 'll do it .	lose it
So ai n't no one warned you about me , no ?	ain't
you ai n't gon na see that luv look , i 'll get it for you , allright ?	ain't
What made me piss my life away in this godforsaken place ?	piss
Oh , why do n't you ask our new head manager ?	jew
- Watch your mouth , young lady .	watch your mouth
They play poker , they golf , they do shit .	shit
So , are you gon na ask Anna out this evening ?	gonna
So now you go to the pet store and pick out two turtles , ' cause you boys are gon na have your own room .	gonna
Oh , God , it 's gon na stay in my head for the whole day now .	gonna
So you 're gon na come upstairs with me ?	gonna
- I do n't wan na think about it .	did it wanna
Your goons shot my little boy this afternoon , did you know that ?	goons
Sorry I 'm late , I just ...	uh
Yeah , well , Eric , bent as a twobob note .	twobob
I 'm sorry , there 's no work for you here , mate .	mate
It 's your stupid bastard Welsh fault !	bastard
I thought she was dumb .	dumb
So the old man turns to the elder and says ,	elder
He takes their briefcase and their topcoats , guards them , remembers without asking whose is whose , speaking as little as possible in all those acoustics , appearing at men 's elbows to hand them a towel .	acoustics
Wait a minute , wait a minute .	minute
She 's not gon na let us out .	gonna
If I jerk the handle jerk the handle	jerk
I 've got a family and I love ' em .	em
This is your new Mr. Bitchir ?	bitchir
So , uh , what brings you here ?	uh
You guys already have a bit of a following though , do n't ya ?	a following
I 'm on a flow at the moment , right ?	flow
So where do you wan na go , then ?	wanna
I am not about to open up a new can of worms .	open
Of course , I was always tempted to skim a lbit off the top , but I knew I had a good thing going and I did n't wan na risk it .	wanna
This here makes me absolutely crazy .	crazy
Fuck those racist crackers , man .	crackers
I do n't know what you 're talking about .	inherited
A pony on the first of the month for turning a blind eye to hooky MOTs is bad enough .	pony
Hust give him one goddamn break .	goddamn
I got a little shout out :	shout out
Not much to do in town , it 's pretty dead over there , and uh ... you know , we needed somethin ' to do .	dead over there
I think we should run the finale step , since that 's brand-new .	run the final step
Imagine the temptation to despair in the sound of carefree birds only yards from where you lay breathing in the weeds .	fella
Do n't worry son ... you wo n't do the seven ...	son
The Jody that got my boo pregnant ?	boo
About being degraded and brought to within an inch of your life , for example .	inch of your life
So she shouts , '' Hey , where are you going ? ''	hey
Yet on the other hand , they kinda did wan na be in Vanity Fair .	kinda
You need something ... anything ... just give me a bell and I 'll sort it , yeah ?	yeah
Sorry that we have destroyed your life .	destroyed your life
Who you calling a ball , dick ?	dick
♪ Oh , no , you steal ' em	'em
So , be careful , 'cause I could go at any second .	'cause
I 'd like to be a fly on the wall for that one .	fly on the wall
He has to be a dumbass for fighting my idiot brother .	dumbass
It 's un fair that we ca n't listen to our music .	promiscuous sex
If you had facial hair , you were an alien from outer space .	alien
Meg these people have families !	meg
And she was straight out of central casting :	central casting
You owe me a beer , man !	owe
Get your picture ta ... oh !	bloomers
Hey , blood , I will spark your girl ...	blood
You pay us 200 grand , or we kill you .	grand
To look out for someone .	look out for someone
Honest , lad , I know how you feel .	lad
Uh , you can call me ...	uh
.. Hit me with your best shot ..	hit me
Bitch fired off a few lucky shots .	bitch
Nothing like a good piece of ass .	piece of ass
From the very beginning , we said I 'm the front man ... and you 're the guitarist with mystique .	mystique
- Uh , we can see that , mate .	uh
You could 've gotten someone to help you .	gotten
We can handle this prick sir .	prick
But when we get to the Worlds I 'm gon na need you .	gonna
You were only supposed to blow the bloody doors off .	bloody
You 've got ta come tomorrow night for that .	gotta
I wish she would just shut up !	shut up
No , I almost said something yesterday to them , but I did n't want to , like , overstep my boundaries either .	no slang was used in this sentence
Sort of question you ask a bloke who tried to pick you up at the Bomb Squad fancy dress disco , dressed as a gladiator .	bloke
You know , cos we get taught stuff in there .	cos
The fire took the lot .	lot
It is gon na kill us .	gonna
Plus , he got me all preg and shit .	preg
Looking under rocks is only gon na cause that poor mother further grief .	looking under rocks
I 'm not gon na take it any more .	gonna
Ah , I do n't care , long as there ai n't no zombies in it .	ain't
Is that gon na crap out again ?	crap out
As I 'm walking out to the mound , all I could think about was ... all the legends that had played there before , you know ?	mound
I got ta go speak to Caren .	gotta
I think of him with both a smile at some of the funny , pithy one-liners he would come out with on Radio 4 panel shows , but also for the man inside , because behind every little , pithy , vaguely amusing joke	pithy
I need that shit like water .	need that shit like water
You know , you break the ice .	break the ice
Up until then , I have n't smoke a joint even when I was overseas and half my unit were on one thing or another .	smoke a joint
Go and get in the car , babe .	babe
All the shorties in the club .	shorties
Yeah , and I 'd also say it if it was true .	yeah
All right , let 's have one humongous sandwich , and we 'll cut it in half .	humongous
Look , he 's a kid who experimented once or twice , got burned for life .	kid
I 'm not looking to hook up .	hook up
I want eyes on them !	eyes
You know , I 'll change when I want to change .	you know
But for me , I think , for me , it 's your smartness more than anything else .	smartness
I could be having sex with anything , literally .	sexy with anything
And every time you say you 're not it 's like a dagger through my heart .	dagger through my heart
He took a shot and he failed .	shot
- Agency suspected for years that Federov started the war by dropping the building on his own men , then blaming it on the Chechen nationalists .	dropping the building
- Bit of this , bit of that .	bit
- I 'm gon na ask you one more time ...	outta
Get out there and get some strange ass .	strange ass
I just want my weed , man .	weed
Cost you even more in the future , lad .	lad
You think I 'm winding you up , do n't you ?	winding you up
You do n't know who you 're dealing with here !	dealing
And where exactly are we gon na find more ?	gonna
`` so you better watch your back . ''	watch your back
You guys should just stop provoking him .	guys
I got rid of it .	got rid
- Yeah , a lot of them .	yeah
I 'm on 22 grand , bruv .	grand
I heard about your rattler too .	rattler
Maybe you can , maybe you can .	market
Shh , baby , it 's gon na be okay .	baby
Get me ... a hundred fags , two bottles of wine , a bottle of whisky , and ten cans of lager now .	fags
Run those plates for me .	run
He tours with them , but not , you know , with them .	with them
- Are you really gon na marry me ?	gonna
Cos this were only a couple of days after he died .	cos
I SWEAR , HE FANCIED ME .	fancied
I 'd like to get home sometime before Easter .	bailing
I just ca n't lose her .	mayo or mustard
But I 'm just saying , there does come a time in a girl 's life , yeah , where she just needs to stand up for herself and tell her dad to just stick it up his arse .	arse
They see you rolling around with this motherfucker , man , it gon na be like you back on the throne the first day .	rolling around
Well , I have n't finished teaching you yet , son .	son
Although I have some good news .	discount
Maybe one day , but not right now !	one day
To be honest , when I got traded , I think it bothered him as much as it did me .	scouted traded
No , but she 's writing for a market of mummies .	mummies
But JTRO jumped his ass .	jumped his ass
You dull blozers rollir tonight ?	blozers
All right , this guy 's toast .	toast
I hope the hell that my daughter on that farm .	hell
Well then , who 's gon na stop this guy Cortez ?	gonna
Go on , down my back and my legs !	right down my back
What about the Ripper Inquiry ?	ripper
Yeah , I love you , too .	yeah
Got ta be a neighbor somebody close by , someone who could access her wireless router .	gotta
That 's the third rotter I 've had from McTavish and his gang of grave robbers in the last three weeks .	rotter
I can feel you lookin ' at me , Charlie .	lookin'
I never would have pegged you for a farm girl .	pegged
How many kids you got ?	kids
The book would have flopped anyway .	flopped
Oh , no , I was , I was gon na tell you later .	gonna
And if she 'd have known Lorraine were there , she 'd have had summat to say .	summat
Today I begin a new life .	new life
I mean , most of ' em work their arses off to get what we just take for granted .	arses
C'mon you lazy old sob .	sob
My man showed me that she tried to move to him at the drinks ting .	ting
Us mums do n't get to do this often .	us
And they 're gon na play the first ever TV performance ..... of their brand-new song , it 's the best song around , ..... it is Some Might Say !	gonna
Two miserable people feeling totally mashed up and hurt .	mashed up
And every time the train comes to a slow bend he chucks a sack of money out .	chucks
It was our nest egg .	nest egg
Hey , anyone can figure out life when you 're looking back on it .	hey
He is not gon na park his car .	gonna
- He 's been hitting the other kids .	kids
Oh , buddy , you did great .	buddy
The adopted parents returned the kid to child services when he was three years old .	kid
We just got a good dose of Mel .	dose
Why does he wear a bra ?	bra
That 'll be it , for real .	real
The police services are stretched to their utmost on the investigation .	stretched
She was gon na try to take my kids away from me .	gonna
I mean , why should I waste my whole dang summer stuck in this stupid-ass farm , when I could be out having some fun ?	dang
Look , when I first signed you up , you were hitting great .	bat
But until that time , step off , dude .	step off
I should punch your lights out !	lights
The toilet is already there I 'll get a nice trailer .	toilet
- No , he 's moving on you .	moving on you
Why do n't you join us , love ?	love
- Yeah , but what about his shin guards ?	yeah
There 's time for one last shot .	shot
Can I offer you a lift home ?	lift
I want you to walk Gentry .	gentry
Or , you know , making love .	making love
And the Portuguese have said whatever to their thing .	whatever
We shoot hoops a lot ... whenever we 're not too busy with , uh , work .	shoot hoops
You were kicking it to pony-tail , right ?	kicking it to
Well , I 'm at a wedding , I 'm seeing ghosts in the john .	ghosts
He just wants to have a chat , all right ?	chat
There 's only two detectives in this nick ... me and the governor .	nick
See if I can get somebody on your case more permanent .	case
LET 'S TRY THE OTHER ROOMS .	bloody
Look , I 'm gon na get out of here .	gonna
You 've been working the streets too long .	working the streets
Maybe Jeremy 's a little nuts .	nuts
You have n't cum in a week ?	cum
You think that 's faster than this , blood ?	blood
Remains of queen 's woman found in vacant lot .	remains of queen
I 'll get you out of it .	get you out of it
And if that means I need to spend four to six more years before I get another chance ... fine .	four to six more years
You got some pretty ass eyes , bitch .	ass
They had some next bre there , offering bare Ps , blood .	blood
And we got that and card .	card
We 'll all be cruisin ' around in , you know , little spaceships .	cruisin'
I decided not to grow up in a pale .	pale
Feed some liquid into your stomach .	feed
Hey , DUFF queen , wan na show me some of them moves ?	wanna
`` Death Wish '' Bloody good as it happens .	bloody
- Erm , is there a problem ?	erm
- Ding , ding , ding , ding , ding .	ding
kinda talks like a junior gangster .	ganster
Let 's get out of here .	get out
But that 's geeks for you .	geeks
The best thing for all of us , and especially your fucking stupid prick of a brother , is if ...	prick
In the back , in the shed .	informal conversation to express  frustration
I do n't wan na be sitting in a wheelchair pit or fucking behind a pillar or right up at the fucking back ...	wanna
Creepy Carl sure keeps it cold in here .	creepy
i want those two girls i 'll find them you better lad , and then you 're gon na call me allright , i will you got my number ?	lad
I thought we were gon na help .	gonna
Well , I certainly know how my lady gets when you do n't snap to it .	snap to it
All he cares about is getting the kitten 's collar ...	kitten's collar
Saturday night , he 'd had a skinful .	skinful
But good luck to you .	good luck
They 're lucky we do n't dump them , too .	dump
Oh , yeah , I got a letter from Charlie .	yeah
I want no part of this Malibu Barbie hellscape .	hellscape
I know them better than you do , you muggy cunt .	muggy
I think I 'm gon na be sick .	gonna
I 'm gon na put you in the next worse place to hell .	hell
Just ... working on the deal .	deal
I 'd like you to come to my house .	come
I do n't wan na move to another country with you as much as I do n't wan na marry you .	wanna
I mean , I know you 're a big rock star and all ... but do you wan na hang with some good people looking to have a good time ?	hang
Are you seriously saying that you think the North of England ... hang on ... a stronger identity than Wales ?	hang on
- I mean , the man was a roadie with Led Zeppelin , for fuck 's sake .	roadie
- I just wanted a chat .	chat
All right mate , what are you after ?	mate
To save your stinking skin !	stinking
Well , you can move on .	move on
And I finally get here ...	smack
`` Who would 've thought my friend John would help bring about the end of the world ? ''	bring about
I know he seemed like a nice guy and all that .	guy
Yes , Mummy , I can give him more hugs .	mummy
Yeah , there 's been none of that on the trip .	yeah
A young girl , too , ' cause that 's how The Gent likes them .	cause
And the chicks are great .	chicks
All I ever wanted to be was a football player .	we was
It is a bronze Jag .	jag
He 's got the same bollocks in his life as we 've all got .	bollocks
* They 'll only smile * to see you wile your time away . *	smile
Shotgun , he 's on high alert .	shotgun
I 'm high as hell , man .	hell
I 'll thump that bastard in a minute .	bastard
That sounds like an awesome episode of Dateline .	awesome
I have n't seen you in years .	huh
It 's no great shakes but you got ta begin with a baby shake , right ?	shakes
- is with his right hand , man .	with his right hand
You want the cops smelling booze on you ?	booze
Ahmed himself was killed by security services as he tried to trigger a suicide device just prior to the foyer device exploding .	massive explosion
I do n't need ten quid either , really .	quid
Rolling her around the page so she gets strangled in vomiting .	rolling her around the page
We 're the only ones with our heads screwed on .	heads screw on
7 bills for the.38 , 8 and a half for the Glock and a full grand for that Sig there .	sig
Please move up a bit .	move up
Was n't he a nancy , sir ?	nancy
Well , no matter what , you have to show up for your kids .	show up
Um ... you have a therapist ?	um
Gorgeous day for it , though , innit ?	innit
Let me up the stakes .	up the stakes
There was a lifeguard who gave her a hash brownie .	hash brownie
Did n't he just get arrested for assault ?	three for three
It 's like studying when mom is watching .	studying
I got ta think about it .	gotta
I fucking hate you , c'mon .	c'mon
I swiped it right away .	swiped
... if one were to need to make use of a bathroom how might one do that in these special circumstances ?	special circumstances
There 's gon na be loads of them .	gonna
Call off the Op , we do n't have the coverage .	op
And I know I ai n't never been there for you .	ain't
He pulled this goth bird after a set , right ?	goth bird
A silver-grey metallic ZR1 headed southbound on US 95 .	us 95
The stoner who used to steal our milk and top it up with water .	stoner
She 's lovely to look at , but she 's not Alfred Einstein , is she ?	kid
She was not gon na be head cheerleader :	gonna
It heightens your senses , I think .	heightens your senses
It 's Jim 's night with the boys .	night with the boys
But you got ta let me in .	gotta
# Take your mum to Paris lighting up the chalice	chalice
I kept my end of the bargain .	bloody
You might have been sellin ' twigs and seeds , but I still looked after you .	sellin'
Desmond , or Buds , or whatever you wan na call yourself ,	wanna
Okay , Let 's see how you like it .	okay
I need to talk to you about making some kind of payment arrangements , and I will call you at 10 : 00 a.m. sharp tomorrow .	sharp
But he 's not trying to get you through an exam .	exam
It is not the greatest , only the longest .	dick
So , listen , I 'm gon na go in , I 'm gon na take a shower , and then maybe I can muster a little romance for you .	gonna
I do n't know how they ca n't see that he 's just got a broken heart .	broken heart
Now , remember the stink eye .	stink eye
I respect Gene , and I respect your jean choice .	jean
Well , erm ... do you feel the same ?	erm
I was basically dragged to it .	dragged
Let 's see how this plays out .	plays out
I ca n't find my flats .	flats
Work with me , me old son .	old son
- You wan na have a seat ?	wanna
How you doing , sweet pea ?	sweet pea
Why does n't he just blow his brains out ?	blow
I 'm telling you , this girl 's seriously troubled .	troubled
Looks like you 're both in luck .	in luck
And he 's , '' Lads , lads , do n't scuff the leather , whatever you do . ''	lads
Let me call Henry , man .	man
Yeah , she might , but I ai n't seen her .	yeah
Ma 's was not on the menu .	ma's
You lost interest in me when I ran out of drama .	drama
Lifers and guards , with hollow faces .	lifers
That 's a pity , is n't it ?	pity
Let 's go holler at these hos .	holler
I 'm not being a chick , you fucking ass man .	chick
It 'd be nice for you two to spend some time together .	spend some time
The only had to certify me ' sane ' , ai n't they ?	ain't
I 'll be to check on you in a sec .	sec
I mean seriously , how long has it been ?	seriously
Boo Radley is the most interesting character in To Kill a Mockingbird .	kill
An eye for an eye , yeah ?	yeah
You ever thought about giving it another crack ?	crack
Hiya , I 'm just looking for Horsey .	hiya
What do you call that glob ?	glob
`` And waltzed above a stream ... ''	waltzed
Listen to me , baby , listen to me .	baby
You trying to look tough , huh ?	hiuh
Okay , fun or whatever the hell you 're doing :	the hell
So , you gon na show me a good time , Eddie , or what ?	gonna
It 's been 3 months now , and in gay years , we 're approaching our golden wedding anniversary .	gay years
And you 've still got some of this stuff ?	stuff
Sean 's gon na knock him out .	knock him out
His mother comes to visit him every week , together with his girlfriend .	snitch
Where good ol ' Luigi 's heart used to be .	heart used to be
That 's what I 'm talking about .	that's what i'm talking about
How good were they , huh ?	huh
It 's better to see more leg just from a dance point of view .	more leg
You bypass the endless bullshit .	bullshit
Um , but -- baby , help me out , please .	baby
So you might as well just give up right now .	give up
I do n't wan na be friends , guppy .	guppy
- Yeah , it 's still theft , mate .	yeah
Her mother was tomboyish at her age and that was fine with me .	tomboyish
Well , I 'm paying the price .	paying
You 're saying that you like the cassettes , yeah ?	yeah
It might take a hit .	might take a hit
You wan na give it a crack ?	wanna
Bro , somebody 's gon na see you .	bro
You still have your phone , huh ?	huh
I ca n't stand your black ass !	ass
She should n't have ignored you for six months .	lied
Find out what his racket is .	racket
- ' Cause I know they wan na meet you .	wanna
- Do you wan na hear it ?	wanna
Not helped by regular visits from the same French copper asking the same questions over and over every day .	copper
I actually thought it was pretty badass when you broke that window like that .	badass
Why are you so afraid to grow up and be a man ?	be a man
You gon na remember your friends , cuz ?	gonna
And believe me , we did n't want to shock you with this .	shock you
It 's hardly the hottest ticket in town , darling .	darling
But people know Hydra Offshore is ours .	dinner
You ca n't do that with a sick person holding you back .	sick
I know , some guys love eating pussy , but the thing about those guys is , they 're fucking crazy .	pussy
- What do you mean , '' uh ... nothing ? ''	uh
It 's s'posed to be about his bird .	bird
.. Get crazy The heat is on ..	the heat is on
but under a cloud of shame :	cloud of shame
The streets have not even been ploughed .	nonessential
Do n't take your sunshine away .	sunshine
You can be my wing girl .	wing girl
Because I was running waiting for you to square it .	square it
This is impersonating a guest .	impersonating
And the kids , they 're good eaters ?	kids
That 's all I 'm interested in from here on out .	real
No , I 'm not a monster .	monster
You see , there 's a bigger cock in town .	cock
- Who do you think you are talking to ...	tiger
You just got ta understand , do you get me ?	gotta
It 's like we were pals then , and we 'd do things together .	pals
♪ Where 's all the hip hop fans , they 're all MCs ♪	mcs
Well , than earning millions writing shit like this .	shit
I ca n't take a fall .	take a fall
Why would I put weed in my mama 's garden ?	weed
In 45 seconds , we 'll move a prisoner to Federal Death Row .	45 seconds
He 's been learning skills , mate .	mate
When you gon na find me a job ?	gonna
She 's hardly ever home when I call , out on the town .	on the town
You girlies would n't get out of line , would you ?	girlies
He 's not my boss , I work for myself .	boss
Do n't give me that Cardinal Wolsey shit .	shit
Thousands of punks , Goths , psychobillies , indie kids , rockers , and just general knobheads are just sitting there arguing about what to call themselves .	kids
And let me know if anything clicks with our piano man .	clicks
- You 've got the whole lot .	lot
MUST 'VE BEEN SOME OTHER BIRD , THEN .	bird
That 's my cue , after urination in the tub ?	cue
Gon na be late for the big show .	gonna
You 're letting yourself become a statistic .	statistic
- Uh , um ... l-I do n't think that 's a good idea .	uh
You 'd kill to be in his place .	kill
- Gonne photograph your brother 's wedding ?	gonne
- Kept telling her we ai n't on welfare but she did n't wan na listen .	ain't
You look like a couple of Feds , innit ?	innit
've been chilling out , allright , I ai n't made money , so I need you to do this for me	chilling
So you 're going to cut me , yeah ?	yeah
I wan na see Haley and I 'm not gon na say another word until you let me see her .	wanna gonna
Now I 'm buried in the armor	buried in the armor
Place was all locked up and he did n't have a key on him .	all locked up
I also slept with Leslie , when you were fighting .	slept
I do n't wan na be on my own	wanna
Er , she 's probably on the next one .	er
Where 'd you learn all this , mate ?	mate
I just did n't think you 'd hook up with him .	hook up
Next time , I 'm gon na tap you for good .	gonna
Dude , this is my spot , man !	dude
but he ca n't , 'cause he 's brown bread .	'cause
OK , I 'll get someone to give you a call .	ok
- You want to kill a guy touches my arm ?	kill
He threw my mate out .	mate
When the semester is finished , would you like 20 year olds cope	cope
At the start , the only links we had was that they were all slags .	slags
But , er , ..... I do n't think really anyone was thinking about the consequences .	er
Take your phone with you , so I can call ya	ya
There 's something off about them .	off
Sorry , I was trying to cool you off .	cool you off
Everyone who took the Soy Sauce is either dead or comatose except for me .	comatose
Promise me you 're not gon na scream .	gonna
Y'know you ca n't pin it down .	y'know
All the stuff that 's gon na rot in my fucking head !	gonna
- Come and sit next to me , pal .	pal
My karma is already too fucking gut shot , butt-fucked bad man .	karma
Which he must have nicked when he tried to plant the table in my head .	nicked
♪ I 'm gon na swim like a swimmy thing ♪	gonna
I 'd like to see you try .	i'm gonna leave if you don't leave me alone
Now , you told us you 'd give us 200 grand .	grand
I have to go now , honey .	honey
This is gon na be a lot of fun !	gonna
Yeah , I was just gon na .	yeah
Okay , I 'm gon na make sure the cops know how to find us .	gonna
It 's gon na make me look good .	gonna
Get this shit out of here .	shit
Yeah , I know , but I 've just written a brilliant riff , right ?	riff
All you can do is be yourself ... and leave a pint of blood on that stage .	pint of blood
In the way that you love me	relentless
I 'm not like a junkie .	junkie
'Cause I sure do n't want a family .	'cause
I 'll show them the deal and I 'll be back , OK ?	ok
I 've got just the thing for ya .	ya
And how you wan na start this ?	wanna start this
They 'll be the saviours of Leeds United , this lot .	this lot
What do you think holds it up , slick ?	slick
I was that emotional about it , you know .	you know
You still pissed at me ?	pissed
Have you thought about what you 're gon na say ... when we get back ?	gonna
Yeah , and you 'll always imagine , because it 's not a problem you 'll ever have to contend with .	yeah
- I wan na turn you over ...	wanna
Yup , but it 's not like she 's gon na look at us with all the Swiss Germans here .	gonna
Oh , I hope the rain holds off .	holds off
I 'm having second thoughts , Jamie .	second
Is it your heart talking or your head ?	heart talking
Nobody 's gon na blame you for taking cover .	taking cover
Why not make it two on two there huh ?	huh
Anyway , so we were at this posh restaurant ...	posh
Oh , yeah , I 've still got it .	yeah
Because I bought them , and I do n't wan na lose them .	wanna
Who gives a shit about grand theft auto ?	gives a shit
I hope everything with the e-mail 's OK .	ok
Oh yeah , he used to piss into a water bottle cos he could n't be bothered to walk to the toilet .	piss
Money like that could go a long way to helping out a couple of amigos .	amigos
That 's going to be a rad story to tell the grandkids .	rad
If I want to bring a man in I 'll bring a man in !	man
It 's a matter of , uh , getting their young workers to join us , huh ?	uh
Yeah , listen , the battery on my phone 's running low .	yeah
You gon na be a daddy .	informal conversation to express  frustration
And then I went to the pharmacy to get the scrip filled .	scrip
Jobson 's not going to be very happy , is he , the way we 've treated his lads ?	lads
And I will get it done , okay ?	get it done
It 's like that now , huh ?	that
I 'm a 22-year-old woman who 's studying law .	blood
I do n't want to listen to you all the time , but you give me all that .	give me all that
Nah , you know I do n't drink beer mate .	nah
Although something tells me they 're gon na find a few of those pictures laying right next to the charred remains of poor little Lola .	gonna
I 'm afraid of the thoughts that you 're making	yes
Feast you eyes on a '' cheergasm '' like no man :	feast
She aint gon na fight you .	ain't
You want to make out ?	make out
Well , we do n't want to sit around going boo-hoo-hoo all day .	boo hoo hoo
The last chicken in the shop , the juicy golden goosey	goosey
Why are you so good at blackjack ?	blackjack
Amanda does have the names of the people I do n't mind seeing .	i don't mind
I 'm just making small talk , you know ?	small talk
- YOU ARE THE CHAP OF CHAPS .	chap
Who in the hell are these people ?	hell
Click it or ticket , bitch !	bitch
After everything that you gave me , my sweetheart ,	yes
'Cause figuring it out 's kind of the boring part .	the speaker is agreeing with a statement that implies figuring something out is less exciting or interesting than the alternative
- Oh , it hurts so good .	hurts
Oh , I want to hang on to ole Georgetta here .	ole
♪ And said '' I battered my car right now ♪	battered
He says he has n't seen Joe since they split up .	split up
- I 'm really busy as it is .	really
You blacked my eye too .	blacked
We got ta get out of here .	gotta
Mate , we withdraw whatever the machine will allow us to withdraw .	mate
And an hour after that , Kilburn 's review was spammed Web-wide .	spammed
Just please keep it down .	keep it down
Master Justin said he did n't need no help , cocking bugger .	cocking
- Jon , movies and porno are different !	porno
Babe , would you do us the honours ?	babe
